# ----------------------------------------
# Onerway Checkout
# 收银台全局数据-收银台平均加载时长
# 20240708-20240721
# ----------------------------------------

日期,20240715,20240715,20240720,20240720,20240716,20240716,20240717,20240717,20240714,20240714,20240710,20240710,20240718,20240718,20240719,20240719,20240721,20240721,20240709,20240709,20240713,20240713,20240708,20240708,20240712,20240712,20240711,20240711,合计,合计
国家/地区,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数
Denmark,1808.4955613577024,113,44108.18996959878,108,1611.6722857142859,112,1522.5597333333335,111,1535.381847826087,93,1733.7459016311475,78,2022.6516717325228,97,1903.7397727272728,84,1442.706037735849,81,1867.179296875,83,1613.8867579908676,69,1780.1332,86,1965.8474820143883,85,2045.712156862745,87,5135.157041756737,1011
Sweden,1840.9820574138755,110,1769.1887445887444,103,1442.5802985074627,105,1938.7073033707866,95,1477.2,103,1657.4379939209725,94,1477.776393442623,86,1823.0473389355743,102,1596.672043019355,120,1707.6151670976865,112,1596.7729508196721,92,1738.992608695652,86,1727.222121209091,98,1661.9286118980172,118,1680.2834262954182,1104
Slovakia,2988.1492366412213,94,2472.5467836257308,52,2667.7765182186236,69,3190.312558144186,86,2799.6567999999997,43,2916.016022082873,51,2389.1360169491522,69,2472.516666666667,63,3360.965034965035,56,3209.8554838709674,52,2748.8881579078948,55,3485.9732026143793,60,4328.583108108109,62,2756.2097345132743,61,2939.27018419033,644
Portugal,2500.7371428571428,87,3379.410077523256,81,2514.9203333333335,98,3709.099224806201,119,2078.0389558232932,77,3059.923206751055,84,1782.674820147482,91,2038.2908088235292,94,2379.8666666666663,98,2287.006116207951,114,2154.1468208092488,69,1924.898596491228,83,1950.2613138686131,98,2156.251121076233,80,2459.6500909332294,1031
Norway,2190.0666666666666,83,1497.3838383838383,53,1982.476393442623,81,1546.3870629370629,62,1510.7149019607843,65,2182.145086705202,43,1737.895238095238,59,1607.8505928853756,65,1182.612970711297,60,1520.31171875,58,1698.8155,53,2010.4340425531916,60,1695.3245901639343,72,1365.3426294741034,52,1699.7446311586443,723
Ireland,2121.57755102449,82,1807.1941666666667,90,2209.417910447761,111,2324.0077881619936,108,1576.9424778761063,83,2214.162916691667,81,1644.179746835443,97,2387.040740740741,89,2242.5452488597284,92,2221.7400778326846,82,1984.9777777777779,75,2154.6081300813007,82,2268.7091603053436,81,2148.9083333333333,84,2096.0622782727273,938
Switzerland,2127.057021280851,79,76870.11552511416,54,1902.6877049262296,77,1814.6857758620688,79,1444.8111111111111,65,1410.4866666666667,50,1621.0108695652175,55,1296.2884792626728,57,1743.2700336700336,88,1594.791573033708,66,1328,88,1354.6745283018868,71,2075.668551236749,79,1934.5955056179776,56,6807.263018398191,787
New Zealand,2737.6809278350515,62,2784.1295566502467,64,2854.874107142857,65,3515.010188679245,72,2822.0037037037036,49,3416.0914473618423,51,2639.308296943231,66,2538.478703703704,64,2870.24302325969,70,3989.621839074712,49,3206.97131147541,37,3099.6372262846717,41,2566.8168674698795,47,3916.5270440251575,51,3042.3970311912813,604
Saudi Arabia,3156.5996124031008,62,3719.5057208237986,104,3216.1591836802722,95,3905.705299539171,123,3664.9229580618103,96,3784.388826812849,84,3868.125974025974,144,3305.277536231884,127,3814.037237237237,93,3319.399680511182,73,4552.104242424242,47,3124.7350125944586,87,3987.0594405594406,77,3179.683766233766,85,3579.0153550132773,982
China,21642.757185437087,57,5317.644933333333,28,3465.6563607594935,46,3042.130882360294,48,3045.4622641698115,20,4903.596890756303,52,2782.9318060200667,44,1547.256359649123,53,1913.9393258426967,19,3211.3767241293103,43,2915.725316455696,32,3550.1775862068966,49,2786.0045454166666,50,4141.265714285714,50,4248.612563158934,508
Lithuania,2336.964806866953,57,2267.6664122137404,48,2597.776296296296,50,2419.168047343195,62,2286.0209580838323,46,2335.2200000000003,29,2818.962755102041,63,2620.1874251497006,63,2556.9,34,3508.2140000000004,39,2133.1677852348994,44,2566.897590361446,31,2617.72015503876,36,3352.5711111111113,26,2555.720564103077,492
Hungary,1794.578488372093,49,2234.082802547771,53,3827.8533783783787,53,2086.788764044944,51,2157.5930106935484,60,2101.2650349650353,45,2638.996894409938,47,2218.813513502703,65,2042.9482142857144,33,2649.7863354099377,46,2248.1892857142857,46,2038.4433155133688,50,1746.9022727386364,30,2330.370157068063,55,2302.513250797799,548
Greece,2658.9889705735295,48,3328.5844720496893,46,2507.7261627965113,53,3720.1248484848484,64,3235.399999989362,40,2876.730769230769,48,2136.7481707317074,47,2618.8371584699453,61,3017.606048387097,75,3284.948113207547,41,3077.6139393939393,41,2727.8904761904764,32,3105.1217741935484,49,2909.1857142857143,36,2928.3160908651207,538
Uruguay,4744.95,46,4406.832142857143,23,5776.092045454545,32,3735.1517241379306,24,4962.2288461538465,33,8134.057599999999,62,5496.221951219512,24,4148.194736859649,22,4876.205084745762,29,3969.026027397261,33,4379.291780821917,30,4056.458947368421,39,5856.099999999999,18,5071.963,50,5113.815431473097,420
Finland,1767.3904761904762,44,2037.4936507936507,70,1594.7019801980198,55,2175.2887700588235,69,1878.982142857143,44,2125.0963235294116,47,2026.5965367922076,72,2382.1745098039214,79,2330.423021582734,59,2137.7836733979593,30,2483.9976047904192,50,2003.0832061068704,35,1726.5725,51,1485.5081632653062,42,1992.609049204754,593
Japan,2036.1853846153845,43,2303.087407407407,44,2284.6693251533743,42,2035.995145631068,30,2846.2595238095237,53,4037.362962962963,20,1869.6872340425532,16,2285.345098039216,26,2537.5725,57,2784.8959999999997,7,2378.9940048592234,54,1949.3704918032788,20,2703.1717948717946,17,3709.204,10,2452.4781100006667,377
